"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,We create a security group for each role.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We restrict Windows Explorer access by hiding local and remote drive mappings to help prevent users from discovering sensitive information.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We use AppLocker to prevent unwanted software from running on session hosts.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We use screen capture protection and watermarking to help prevent sensitive information from being captured on client endpoints.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We use Microsoft Defender Antivirus to help protect our virtual machines (VMs).,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,"We use Windows Defender Application Control, and we define policies for all our drivers and applications.",,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We sign out users when they're inactive to preserve resources and prevent unauthorized access.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We use Microsoft Defender for Cloud for cloud security posture management (CSPM).,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,None of the above,,,
